part_id,element_id,qty,price,name,link
2357,235726,4,0.04,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84891667
6134,4124096,2,0.02,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=82460878
4079,407926,4,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=85428707
32018,4107558,2,0.2,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=83686927
32529,4144023,4,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84374687
3738,373826,6,0.07,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=82301916
6636,663626,2,0.08,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84752410
47905,4213574,2,0.07,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=85428962
3710,4211001,25,0.04,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84752452
2436,4282740,5,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=73683118
30303,4211611,2,0.04,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=82297173
3665,4211437,2,0.02,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=80397423
32530,4207715,5,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=65760211
32269,4514555,4,0.17,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84752581
3069b,4113854,12,0.04,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=83637353
3070b,3003944,10,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=80378942
6091,609101,12,0.08,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=78847233
6081,608101,19,0.1,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=79716656
2877,287701,12,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84752606
30360,4215142,4,0.1,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=75093003
3960,396001,4,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84752612
43337,4173477,3,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=79372461
4477,447701,10,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84939852
3023,302301,82,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=85296455
3666,366601,19,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84983770
3021,302101,4,0.02,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84988476
3032,303201,7,0.1,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84987323
30357,4550745,2,0.22,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84898400
4510,4501853,2,0.11,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=83303024
60477,4515359,4,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=70992984
85984,4547489,11,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=82353541
4287,428701,4,0.02,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=83303032
32184,6114940,8,0.05,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=81972178
3703,4508661,4,0.6,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84859120
3701,370101,2,0.04,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84896716
2431,243101,13,0.06,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=85094474
51739,4249506,2,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=74785739
41769,4160857,3,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=74446398
59443,4519010,8,0.03,"The Bricky",http://bricklink.com/store.asp?p=landers&itemID=84375130
3009,300926,4,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=84881297
3623,362326,8,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=85068808
3460,346026,10,0.04,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=85343019
3795,379526,7,0.04,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=85345123
61409,4541191,8,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=79144819
3706,370626,16,0.02,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=83696860
973pr1420c01,4533104,1,4.0,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=84473317
32018,4211137,2,0.22,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=76650724
6587,4566927,4,0.02,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=79144711
2714,4211859,4,0.05,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=73435974
6231,4215513,6,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=81733386
3023,4211398,8,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=85061908
3021,4211396,10,0.05,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=85342333
6541,4211535,21,0.03,"Brix Shack",http://bricklink.com/store.asp?p=electricbaer&itemID=81890622
